categoria edifici,pertinenza edificio,parte di edificio,latitudine,longitudine,media,nome,Stato
tempio,Palmira,capitello,34.5542,38.2613,https://upload.wikimedia.org/wikipedia/commons/c/c4/Palmira._Tempio_di_Allat_-_DecArch_-_1-189.jpg,Tempio di Allat,Siria
tempio,Palmira,capitello,34.5542,38.2613,https://upload.wikimedia.org/wikipedia/commons/e/eb/Palmira._Tempio_di_Allat%2C_propilei_-_DecArch_-_1-185.jpg,Tempio di Allat,Siria
terme,Palmira,capitello,34.5489,38.2703,https://upload.wikimedia.org/wikipedia/commons/6/67/Palmira._Terme_di_Diocleziano_-_DecArch_-_1-67.JPG,Terme di Diocleziano,Siria
terme,Palmira,capitello,34.5489,38.2703,https://upload.wikimedia.org/wikipedia/commons/e/e9/Palmira._Terme_di_Diocleziano_-_DecArch_-_1-68.JPG,Terme di Diocleziano,Siria
terme,Palmira,cornice,34.5489,38.2703,https://upload.wikimedia.org/wikipedia/commons/8/89/Palmira._Terme_di_Diocleziano._Part._di_X_33_-_DecArch_-_1-65.JPG,Terme di Diocleziano,Siria
tetrapilo,Palmira,trabeazione,34.55197,38.2683,https://upload.wikimedia.org/wikipedia/commons/b/b4/Palmira._Tetrapilo_-_DecArch_-_1-94.jpg,Tetrapilo di Palmira,Siria
tetrapilo,Palmira,"trabeazione, capitello",34.55197,38.2683,https://upload.wikimedia.org/wikipedia/commons/0/00/Palmira._Tetrapilo_-_DecArch_-_1-97.jpg,Tetrapilo di Palmira,Siria
tetrapilo,Palmira,cornice,34.55197,38.2683,https://upload.wikimedia.org/wikipedia/commons/c/c7/Palmira._Tetrapilo._Part.di_Z_10_-_DecArch_-_1-95.jpg,Teatro di Palmira,Siria
sepoltura,Palmira,cornice,34.5531,38.2653,https://upload.wikimedia.org/wikipedia/commons/5/58/Palmira._Tomba_a_ipogeo_-_DecArch_-_1-231.jpg,Tomba ad ipogeo,Siria
sepoltura,Palmira,trabeazione,34.5531,38.2653,https://upload.wikimedia.org/wikipedia/commons/9/91/Palmira._Tomba_a_ipogeo_-_DecArch_-_1-233.jpg,Tomba ad ipogeo,Siria
via colonnata,Palmira,"base di colonna, colonna, capitello, mensola, trabeazione",34.5508,38.2634,https://upload.wikimedia.org/wikipedia/commons/1/13/Palmira._Via_colonnata_del_teatro_-_DecArch_-_1-54.jpg,Via Colonnata di Palmira (vicino teatro),Siria
via colonnata,Palmira,"base di colonna,colonna, capitello, trabeazione",34.55302,38.26562,https://upload.wikimedia.org/wikipedia/commons/4/4e/Palmira._Via_colonnata_dal_tetrapilo_all%27arco_-_DecArch_-_1-100.jpg,Via Colonnata di Palmira (tra tetrapilo e arco),Siria
via colonnata,Palmira,"base di colonna,colonna, capitello, trabeazione,mensola",34.5508,38.2634,https://upload.wikimedia.org/wikipedia/commons/0/08/Palmira._Via_colonnata_del_teatro_-_DecArch_-_1-55.jpg,Via Colonnata di Palmira (vicino teatro),Siria
via colonnata,Palmira,"base di colonna, colonna, capitello, trbeazione",34.55302,38.26562,https://upload.wikimedia.org/wikipedia/commons/a/a9/Palmira._Via_colonnata_dell%27_arco_-_DecArch_-_1-74.jpg,Via Colonnata di Palmira (tra tetrapilo e arco),Siria
via colonnata,Palmira,"base di colonna, colonna, capitello, trabeazione",34.55302,38.26562,https://upload.wikimedia.org/wikipedia/commons/a/a3/Palmira._Via_colonnata_e_tetrapilo_-_DecArch_-_1-101.jpg,Via Colonnata di Palmira (tra tetrapilo e arco),Siria
via colonnata,Palmira,"base di colonna, colonna, capitello, mensola",34.55302,38.26562,https://upload.wikimedia.org/wikipedia/commons/0/00/Palmira._Via_colonnata_e_tetrapilo_-_DecArch_-_1-102.jpg,Via Colonnata di Palmira (tra tetrapilo e arco),Siria
via colonnata,Palmira,"base di colonna, capitello, colonna, mensola, trabeazione",34.55302,38.26562,https://upload.wikimedia.org/wikipedia/commons/a/ae/Palmira._Via_colonnata_Nord_o_arco._Dav_T.fun_-_DecArch_-_1-165.jpg,Via Colonnata di Palmira (tra tetrapilo e arco),Siria
via colonnata,Palmira,"base di colonna, colonna, capitello, mensola",34.55478,38.26254,https://upload.wikimedia.org/wikipedia/commons/5/50/Palmira._Via_colonnata_Nord_T.funerario_-_DecArch_-_1-166.jpg,Via Colonnata di Palmira (vicino tempio funerario),Siria
via colonnata,Palmira,capitello,34.5508,38.2634,https://upload.wikimedia.org/wikipedia/commons/e/e5/Palmira._Via_colonnata_presso_il_teatro_-_DecArch_-_1-47.jpg,Via Colonnata di Palmira (vicino teatro),Siria
via colonnata,Palmira,"base di colonna, colonna, capitello, trabeazione",34.5508,38.2634,https://upload.wikimedia.org/wikipedia/commons/4/46/Palmira._Via_colonnata_presso_il_teatro_-_DecArch_-_1-49.jpg,Via Colonnata di Palmira (vicino teatro),Siria
via colonnata,Palmira,"trabeazione, capitello",34.5508,38.2634,https://upload.wikimedia.org/wikipedia/commons/8/82/Palmira._Via_colonnata_presso_il_teatro_-_DecArch_-_1-48.jpg,Via Colonnata di Palmira (vicino teatro),Siria
via colonnata,Palmira,"base di colonna, colonna, capitello, trabeazione, mensola",34.55302,38.26562,https://upload.wikimedia.org/wikipedia/commons/2/28/Palmira._Via_colonnata_tra_arco_e_tetrapilo_-_DecArch_-_1-73.jpg,Via Colonnata di Palmira (tra tetrapilo e arco),Siria
via colonnata,Palmira,"base di colonna, colonna, capitello, trabezione",34.55302,38.26562,https://upload.wikimedia.org/wikipedia/commons/a/a6/Palmira._Via_colonnata_tra_arco_e_tetrapilo_-_DecArch_-_1-75.jpg,Via Colonnata di Palmira (tra tetrapilo e arco),Siria
via colonnata,Palmira,capitello,34.55302,38.26562,https://upload.wikimedia.org/wikipedia/commons/a/a6/Palmira._Via_colonnata_tra_T._di_bel_e_Arco_-_DecArch_-_1-24.jpg,Via Colonnata di Palmira (tra tetrapilo e arco),Siria
via colonnata,Palmira,trabeazione,34.54876,38.27127,https://upload.wikimedia.org/wikipedia/commons/b/b8/Palmira._Via_colonnata_tra_T._di_bel_e_Arco_-_DecArch_-_1-27.jpg,Via Colonnata di Palmira (tra arco e tempio di Bel),Siria
via colonnata,Palmira,capitello,34.54876,38.27127,https://upload.wikimedia.org/wikipedia/commons/c/cb/Palmira._Via_colonnata_tra_T._di_bel_e_Arco_-_DecArch_-_1-30.jpg,Via Colonnata di Palmira (tra arco e tempio di Bel),Siria
via colonnata,Palmira,trabeazione,34.5508,38.2634,https://upload.wikimedia.org/wikipedia/commons/0/06/Palmira._Via_colonnata_del_teatro_-_DecArch_-_1-53.jpg,Via Colonnata di Palmita (vicino teatro),Siria
